game_age,owners_mean,total_reviews,positive_ratio,num_languages,num_genres,windows,mac,linux,dlc_count,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_RPG,genre_Strategy,genre_Simulation,precos_categorizados
6,10000.0,24,0.8333333333333334,1,2,1,1,0,0,1,0,0,0,0,0,0,gratuito
5,10000.0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,medio_baixo
3,10000.0,2,1.0,23,6,1,0,0,0,1,1,1,1,0,1,0,alto
2,150000.0,2,1.0,1,4,1,0,0,0,1,0,0,1,0,1,0,alto
1,10000.0,0,0.0,5,2,1,1,0,1,1,0,0,1,0,0,0,medio_baixo
1,0.0,0,0.0,12,3,1,0,0,1,1,1,1,0,0,0,0,alto
5,10000.0,11,0.9090909090909091,9,4,1,0,0,0,0,1,1,1,0,0,1,baixo
1,10000.0,0,0.0,10,4,1,0,0,0,1,0,1,1,0,0,1,baixo
10,75000.0,459,0.9019607843137255,1,3,1,1,0,0,1,0,0,0,0,1,1,medio_baixo
2,10000.0,0,0.0,2,3,1,0,0,0,1,1,0,1,0,0,0,baixo
1,0.0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,1,0,baixo
1,10000.0,0,0.0,8,5,1,0,0,4,0,1,1,0,0,1,1,alto
2,0.0,0,0.0,1,4,1,0,0,0,1,1,0,0,1,0,0,gratuito
1,0.0,0,0.0,1,3,1,0,0,0,0,1,0,0,0,1,0,gratuito
2,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,10000.0,0,0.0,1,2,1,0,0,0,0,1,0,0,0,1,0,alto
7,10000.0,3,0.6666666666666666,1,3,1,0,0,0,1,1,0,1,0,0,0,medio_baixo
3,10000.0,66,0.9090909090909091,1,3,1,0,0,0,1,0,0,1,0,0,1,medio_alto
1,0.0,0,0.0,1,3,1,0,0,0,0,1,1,0,0,0,0,gratuito
1,10000.0,0,0.0,2,3,1,1,1,1,1,0,0,0,0,1,1,alto
1,0.0,0,0.0,1,2,1,0,0,0,0,0,1,0,0,0,0,gratuito
5,15000000.0,297774,0.4674216016173339,14,3,1,0,0,2,0,1,1,1,0,0,0,alto
1,10000.0,0,0.0,1,2,1,0,0,0,1,0,0,1,0,0,0,medio_alto
1,10000.0,0,0.0,1,2,1,0,0,0,1,0,1,0,0,0,0,baixo
3,10000.0,4,0.75,2,2,1,0,0,0,0,0,0,1,1,0,0,alto
4,10000.0,0,0.0,1,2,1,0,0,0,0,0,1,0,0,0,0,baixo
10,10000.0,3,0.3333333333333333,2,2,1,0,0,0,0,0,0,1,0,1,0,medio_alto
5,10000.0,2,0.0,1,3,1,0,0,0,1,1,1,0,0,0,0,medio_alto
7,10000.0,34,0.8529411764705882,4,5,1,0,0,6,1,0,0,1,0,1,1,alto
4,10000.0,4,1.0,1,5,1,0,0,0,1,1,0,1,0,0,1,medio_alto
1,10000.0,44,1.0,2,3,1,0,0,1,1,1,0,1,0,0,0,medio_alto
5,10000.0,0,0.0,1,2,1,0,0,0,0,1,1,0,0,0,0,alto
9,35000.0,373,0.9571045576407506,1,3,1,1,1,1,1,1,1,0,0,0,0,gratuito
6,10000.0,155,0.9548387096774194,1,3,1,1,0,0,1,0,0,1,0,1,0,medio_alto
1,10000.0,0,0.0,1,2,1,0,0,0,1,0,1,0,0,0,0,medio_alto
10,10000.0,22,0.7272727272727273,1,4,1,0,0,0,1,1,1,0,1,0,0,alto
4,10000.0,587,0.8109028960817717,5,2,1,1,1,0,0,1,0,0,1,0,0,alto
1,0.0,0,0.0,2,3,1,0,0,0,1,0,0,1,0,0,1,medio_alto
10,350000.0,295,0.37966101694915255,4,4,1,0,0,0,1,0,0,1,0,0,1,gratuito
4,10000.0,5,1.0,1,3,1,0,0,0,1,1,0,1,0,0,0,medio_alto
1,10000.0,0,0.0,1,3,1,1,1,0,0,0,1,1,0,0,1,medio_alto
3,0.0,0,0.0,1,3,1,0,0,0,1,0,0,1,0,0,0,gratuito
1,10000.0,206,0.9854368932038835,13,3,1,1,1,1,1,1,0,0,0,1,0,alto
2,10000.0,1,1.0,1,3,1,0,0,0,1,0,0,1,0,0,1,medio_alto
2,10000.0,3,0.6666666666666666,0,1,1,0,0,0,1,0,0,0,0,0,0,alto
1,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,gratuito
2,10000.0,5,1.0,2,2,1,0,0,0,1,0,0,1,0,0,0,baixo
3,0.0,0,0.0,3,4,1,0,0,0,0,1,0,1,0,1,0,gratuito
3,10000.0,86,0.7325581395348837,2,7,1,0,0,0,1,1,1,1,1,0,1,medio_alto
2,10000.0,5,1.0,2,2,1,1,0,0,1,1,0,0,0,0,0,medio_baixo
1,0.0,0,0.0,103,3,1,0,0,2,1,0,0,1,0,0,0,baixo
2,10000.0,126,0.9365079365079365,7,3,1,0,0,1,1,0,0,0,1,1,0,alto
8,10000.0,22,0.6363636363636364,2,1,1,0,0,0,0,0,0,0,0,0,0,gratuito
1,0.0,0,0.0,15,3,1,0,0,0,1,0,0,1,0,0,1,medio_baixo
6,10000.0,28,0.6785714285714286,1,2,1,1,0,3,1,0,0,1,0,0,0,medio_alto
10,150000.0,676,0.6405325443786982,16,3,1,1,1,0,1,1,0,1,0,0,0,medio_baixo
6,35000.0,128,0.96875,2,4,1,0,0,0,1,0,1,0,1,1,0,gratuito
6,10000.0,23,0.7391304347826086,1,3,1,0,0,0,1,1,1,0,0,0,0,medio_alto
4,10000.0,37,0.6216216216216216,3,2,1,0,0,2,1,1,0,0,0,0,0,alto
